b'id',b'key',b'value',b'type'
b'170434',b'odbl',b'clean',b'regular'
b'170447',b'highway',b'motorway_junction',b'regular'
b'170447',b'name',b'Stoneham Interchange',b'regular'
b'170447',b'ref',b'5',b'regular'
b'242720',b'highway',b'traffic_signals',b'regular'
b'242743',b'highway',b'traffic_signals',b'regular'
b'243871',b'highway',b'mini_roundabout',b'regular'
b'243871',b'direction',b'clockwise',b'regular'
b'247796',b'highway',b'traffic_signals',b'regular'
b'254359',b'cycleway',b'asl',b'regular'
b'254379',b'highway',b'traffic_signals',b'regular'
b'254398',b'odbl',b'clean',b'regular'
b'254401',b'odbl',b'clean',b'regular'
b'254402',b'highway',b'traffic_signals',b'regular'
b'254412',b'highway',b'crossing',b'regular'
b'254412',b'sloped_curb',b'yes',b'regular'
b'254412',b'tactile_paving',b'yes',b'regular'
b'254414',b'highway',b'traffic_signals',b'regular'
b'254415',b'odbl',b'clean',b'regular'
b'254427',b'highway',b'traffic_signals',b'regular'
b'254429',b'highway',b'traffic_signals',b'regular'
b'254429',b'crossing',b'island;uncontrolled',b'regular'
b'254432',b'odbl',b'clean',b'regular'
b'254432',b'highway',b'traffic_signals',b'regular'
b'254434',b'highway',b'traffic_signals',b'regular'
b'254435',b'highway',b'traffic_signals',b'regular'
b'254436',b'highway',b'traffic_signals',b'regular'
b'254439',b'highway',b'traffic_signals',b'regular'
b'254444',b'highway',b'traffic_signals',b'regular'
b'254446',b'highway',b'traffic_signals',b'regular'
b'254461',b'source',b'Bing',b'regular'
b'254463',b'highway',b'traffic_signals',b'regular'
b'254463',b'crossing',b'pelican',b'regular'
b'254467',b'highway',b'mini_roundabout',b'regular'
b'254467',b'direction',b'clockwise',b'regular'
b'254469',b'highway',b'mini_roundabout',b'regular'
b'254489',b'highway',b'traffic_signals',b'regular'
b'254527',b'highway',b'traffic_signals',b'regular'
b'254527',b'crossing',b'traffic_signals',b'regular'
b'254527',b'tactile_paving',b'yes',b'regular'
b'254527',b'sound',b'yes',b'traffic_signals'
b'254527',b'vibration',b'yes',b'traffic_signals'
b'254537',b'highway',b'traffic_signals',b'regular'
b'254664',b'highway',b'traffic_signals',b'regular'
b'254666',b'highway',b'mini_roundabout',b'regular'
b'254666',b'direction',b'clockwise',b'regular'
b'254671',b'highway',b'traffic_signals',b'regular'
b'254673',b'highway',b'traffic_signals',b'regular'
b'254673',b'crossing',b'traffic_signals',b'regular'
b'254692',b'highway',b'traffic_signals',b'regular'
b'254709',b'odbl',b'clean',b'regular'
b'254765',b'odbl',b'clean',b'regular'
b'254833',b'highway',b'traffic_signals',b'regular'
b'254836',b'highway',b'traffic_signals',b'regular'
b'254841',b'highway',b'traffic_signals',b'regular'
b'254847',b'odbl',b'clean',b'regular'
b'254866',b'highway',b'traffic_signals',b'regular'
b'254896',b'odbl',b'clean',b'regular'
b'254896',b'highway',b'mini_roundabout',b'regular'
b'254896',b'direction',b'clockwise',b'regular'
b'254899',b'highway',b'traffic_signals',b'regular'
b'254918',b'highway',b'traffic_signals',b'regular'
b'254975',b'barrier',b'gate',b'regular'
b'254980',b'highway',b'motorway_junction',b'regular'
b'254980',b'name',b'Nursling Interchange',b'regular'
b'254980',b'ref',b'1',b'regular'
b'254988',b'highway',b'traffic_signals',b'regular'
b'269087',b'created_by',b'osmeditor2',b'regular'
b'271020',b'name',b'Rownhams',b'regular'
b'271020',b'amenity',b'place_of_worship',b'regular'
b'271020',b'religion',b'christian',b'regular'
b'271020',b'denomination',b'anglican',b'regular'
b'271021',b'name',b'St. Nicolas Church',b'regular'
b'271021',b'amenity',b'place_of_worship',b'regular'
b'271021',b'website',b'http://www.nsab.org.uk/st-nicolas/',b'regular'
b'271021',b'religion',b'christian',b'regular'
b'271021',b'denomination',b'anglican',b'regular'
b'271032',b'man_made',b'tower',b'regular'
b'271032',b'created_by',b'Potlatch 0.8b',b'regular'
b'271036',b'name',b'Swaythling',b'regular'
b'271036',b'is_in',b'Southampton',b'regular'
b'271036',b'place',b'suburb',b'regular'
b'271051',b'is_in',"b'Southampton, Hampshire, England, UK'",b'regular'
b'271051',b'name',b'Woolston',b'regular'
b'271051',b'place',b'suburb',b'regular'
b'271051',b'wikidata',b'Q8033947',b'regular'
b'271051',b'wikipedia',"b'en:Woolston, Hampshire'",b'regular'
b'271053',b'name',b'Northam',b'regular'
b'271053',b'is_in',"b'Southampton, Hampshire, England, UK'",b'regular'
b'271053',b'place',b'suburb',b'regular'
b'271054',b'name',b'Midanbury',b'regular'
b'271054',b'is_in',b'Southampton',b'regular'
b'271054',b'place',b'suburb',b'regular'
b'271055',b'name',b'Bitterne',b'regular'
b'271055',b'place',b'suburb',b'regular'
b'271242',b'name',b'Shirley',b'regular'
b'271242',b'is_in',"b'Southampton, Hampshire, England, UK'",b'regular'
b'271242',b'place',b'suburb',b'regular'
b'271356',b'name',b'Freemantle',b'regular'
b'271356',b'place',b'suburb',b'regular'
b'271356',b'created_by',b'Potlatch 0.5d',b'regular'
b'285866',b'highway',b'traffic_signals',b'regular'
b'301554',b'highway',b'traffic_signals',b'regular'
b'301563',b'highway',b'traffic_signals',b'regular'
b'301563',b'crossing',b'traffic_signals',b'regular'
b'301563',b'crossing_ref',b'puffin',b'regular'
b'301573',b'highway',b'crossing',b'regular'
b'301573',b'crossing',b'traffic_signals',b'regular'
b'301573',b'crossing_ref',b'pelican',b'regular'
b'301600',b'foot',b'yes',b'regular'
b'301600',b'bicycle',b'yes',b'regular'
b'301600',b'highway',b'crossing',b'regular'
b'301600',b'crossing',b'traffic_signals',b'regular'
b'301600',b'crossing_ref',b'toucan',b'regular'
b'301605',b'odbl',b'clean',b'regular'
b'301606',b'odbl',b'clean',b'regular'
b'301607',b'odbl',b'clean',b'regular'
b'301608',b'odbl',b'clean',b'regular'
b'301609',b'odbl',b'clean',b'regular'
b'301610',b'odbl',b'clean',b'regular'
b'301611',b'odbl',b'clean',b'regular'
b'307482',b'highway',b'mini_roundabout',b'regular'
b'307482',b'direction',b'clockwise',b'regular'
b'307483',b'odbl',b'clean',b'regular'
b'319625',b'name',b'St Denys Railway Station',b'regular'
b'319625',b'entrance',b'yes',b'regular'
b'319625',b'city',b'Southampton',b'addr'
b'319625',b'street',b'Osborne Road South',b'addr'
b'319625',b'country',b'GB',b'addr'
b'319625',b'postcode',b'SO17 2EZ',b'addr'
b'325168',b'odbl',b'clean',b'regular'
b'325169',b'odbl',b'clean',b'regular'
b'325203',b'odbl',b'clean',b'regular'
b'325209',b'odbl',b'clean',b'regular'
b'325212',b'odbl',b'clean',b'regular'
b'325224',b'odbl',b'clean',b'regular'
b'325231',b'odbl',b'clean',b'regular'
b'325237',b'odbl',b'clean',b'regular'
b'325651',b'highway',b'mini_roundabout',b'regular'
b'325658',b'highway',b'traffic_signals',b'regular'
b'325659',b'highway',b'traffic_signals',b'regular'
b'325661',b'highway',b'mini_roundabout',b'regular'
b'325661',b'direction',b'clockwise',b'regular'
b'325688',b'foot',b'yes',b'regular'
b'325688',b'horse',b'yes',b'regular'
b'325688',b'barrier',b'bollard',b'regular'
b'325688',b'bicycle',b'yes',b'regular'
b'325698',b'source',b'Bing',b'regular'
b'325699',b'highway',b'traffic_signals',b'regular'
b'325700',b'highway',b'traffic_signals',b'regular'
b'325703',b'highway',b'traffic_signals',b'regular'
b'325703',b'traffic_signals',b'signal',b'regular'
b'325857',b'highway',b'motorway_junction',b'regular'
b'325857',b'name',b'Nursling Interchange',b'regular'
b'325857',b'ref',b'1',b'regular'
b'331354',b'highway',b'mini_roundabout',b'regular'
b'331354',b'direction',b'clockwise',b'regular'
b'331361',b'bus',b'yes',b'regular'
b'331361',b'public_transport',b'stop_position',b'regular'
b'331362',b'highway',b'crossing',b'regular'
b'331362',b'crossing',b'uncontrolled',b'regular'
b'331362',b'sloped_curb',b'yes',b'regular'
b'331362',b'tactile_paving',b'yes',b'regular'
b'387823',b'highway',b'turning_circle',b'regular'
b'388947',b'source',b'Bing',b'regular'
b'388947',b'highway',b'mini_roundabout',b'regular'
b'388947',b'direction',b'clockwise',b'regular'
b'423285',b'highway',b'traffic_signals',b'regular'
b'469849',b'highway',b'traffic_signals',b'regular'
b'469878',b'highway',b'speed_camera',b'regular'
b'469886',b'source',b'Yahoo',b'regular'
b'469888',b'highway',b'traffic_signals',b'regular'
b'512431',b'highway',b'traffic_signals',b'regular'
b'512439',b'public_transport',b'stop_position',b'regular'
b'530520',b'highway',b'traffic_signals',b'regular'
b'530522',b'highway',b'traffic_signals',b'regular'
b'530522',b'traffic_signals',b'signal',b'regular'
b'530605',b'traffic_calming',b'choker',b'regular'
